Tab,Title,Duration,Lessons,Link,Description,Cost
Popular,Microsoft Excel: Formulas & Functions,2.45 Hours,32 Lessons,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions?ref=new_page_popular,"Microsoft Excel: Formulas & FunctionsMicrosoft Excel is still the tool of choice in the industry when it comes to performing data analysis, thanks to its incredible depth and array of formulas and functions. This course covers a wide range of Excel formulas, including LookUp Functions!Enroll for free",FREE
Popular,Introduction to Python,60 Mins,20 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-data-science?ref=new_page_popular,"Introduction to PythonPower up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background.Enroll for free",FREE
Popular,Machine Learning Certification Course for Beginners,,,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners?ref=new_page_popular,"Machine Learning Certification Course for BeginnersIn this free machine learning certification course, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.Enroll for free",FREE
Popular,Improving Real-World RAG Systems: Key Challenges & Practical Solutions,51 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges?ref=new_page_popular,"Improving Real World RAG Systems: Key Challenges & Practical SolutionsMaster key challenges in real-world Retrieval-Augmented Generation (RAG) systems. Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy in AI-driven applications.Enroll for free",FREE
Popular,Generative AI - A Way of Life - Free Course,6 Hours,30 Lessons,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life?ref=new_page_popular,"Generative AI - A Way of Life - Free CourseEmbark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.Enroll for free",FREE
Popular,Getting Started with Large Language Models,60 Mins,16 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-llms?ref=new_page_popular,Getting Started with Large Language ModelsEmbarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.Enroll for free,FREE
Popular,Building LLM Applications using Prompt Engineering - Free Course,2 Hours,17 Lessons,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free?ref=new_page_popular,"Building LLM Applications using Prompt Engineering - Free CourseThis free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot promptingEnroll for free",FREE
Popular,Getting started with Decision Trees,60 Mins,20 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees?ref=new_page_popular,Getting started with Decision TreesDecision Tree algorithm is one of the most powerful algorithm in Machine Learning. Decision trees are used by beginners/ experts to build machine learning models. This course provides you everything about Decision Trees & their Python implementation.Enroll for free,FREE
Popular,Introduction to Natural Language Processing,5 Hours,20 Lessons,https://courses.analyticsvidhya.com/courses/Intro-to-NLP?ref=new_page_popular,"Introduction to Natural Language ProcessingNatural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you basics of NLP, Regular Expressions and Text Preprocessing.Enroll for free",FREE
Popular,Tableau for Beginners,15 Mins,17 Lessons,https://courses.analyticsvidhya.com/courses/tableau-for-beginners?ref=new_page_popular,"Tableau for BeginnersTableau is the tool of choice for business intelligence, analytics and data visualization experts. Learn how to use Tableau, the different features of Tableau, and start building impactful visualization using this Tableau tutorial!Enroll for free",FREE
Popular,"Data Science Hacks, Tips and Tricks",30 Mins,36 Lessons,https://courses.analyticsvidhya.com/courses/data-science-hacks-tips-and-tricks?ref=new_page_popular,"Data Science Hacks, Tips and TricksLearn key data science hacks, tips and tricks to become a better and more efficient data scientist. These data science hacks cover a wide range of data science topics like speeding up Python code, optimizing your data science algorithm and much more!Enroll for free",FREE
Popular,A Comprehensive Learning Path to Become a Data Scientist in 2024,,,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four?ref=new_page_popular,"A Comprehensive Learning Path to Become a Data Scientist in 2024Want to become a data scientist this year, but confused about where to start and what to follow? This comprehensive learning path from Analytics Vidhya should provide you with all the answers you need!Enroll for free",FREE
GenAI,GenAI - A Way of Life - Free Course,6 Hours,30 Lessons,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life?ref=new_page_GenAI,"Generative AI - A Way of Life - Free CourseEmbark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.Enroll for free",FREE
GenAI,Getting Started with Large Language Models,60 Mins,16 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-llms?ref=new_page_GenAI,Getting Started with Large Language ModelsEmbarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.Enroll for free,FREE
GenAI,Building LLM Applications using Prompt Engineering - Free Course,2 Hours,17 Lessons,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free?ref=new_page_GenAI,"Building LLM Applications using Prompt Engineering - Free CourseThis free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot promptingEnroll for free",FREE
GenAI,Building Your first RAG System using LlamaIndex - Free Course,60 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex?ref=new_page_GenAI,Building Your first RAG System using LlamaIndex - Free CourseDive into the sea of Retrieval Augmented Generation with this free course that will help you build your first RAG model with the popular LlamaIndex.Enroll for free,FREE
GenAI,Improving Real-World RAG Systems: Key Challenges & Practical Solutions,51 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges?ref=new_page_GenAI,"Improving Real World RAG Systems: Key Challenges & Practical SolutionsMaster key challenges in real-world Retrieval-Augmented Generation (RAG) systems. Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy in AI-driven applications.Enroll for free",FREE
GenAI,Creating Problem-Solving Agents using GenAI for Action Composition,44 Mins,6 Lessons,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition?ref=new_page_GenAI,Creating Problem-Solving Agents using GenAI for Action CompositionDiscover how Generative AI is revolutionizing Agentic AI systems to solve complex real-world problems.Enroll for free,FREE
